timestamp	species	generation	reward	distance	food	breeding
1777533812.008406	scorpion	0	5.282586925726051	3.1919969680784566	0	1
1777533812.008412	scorpion	1	5.315211225186664	4.5804586486947185	0	2
1777533812.008414	scorpion	2	6.578264136615106	3.3382891809869184	1	1
1777533812.008416	scorpion	3	13.75546745218816	13.714471189285465	0	0
1777533812.008418	scorpion	4	5.929956084382394	3.063373449229378	0	1
1777533812.00842	scorpion	5	11.79832762323756	11.843497842139774	0	0
1777533812.0084212	scorpion	6	10.801594740256522	10.8630620856948	0	0
1777533812.0084229	scorpion	7	5.894071020539928	4.961366880864299	0	1
1777533812.008425	scorpion	8	7.037398853355733	17.20523549811488	0	0
1777533812.008427	scorpion	9	7.129545975297392	17.16308403667615	0	0
1777656732.965606	scorpion	0	65.87442151980561	76.00993393175288	0	0
1777656732.965624	scorpion	1	67.80234644687825	77.9896959545458	0	0
1777656732.965635	scorpion	2	63.78696853992935	73.92144291149566	0	0
1777656732.9656389	scorpion	3	77.8806865368007	77.98117460285397	0	0
1777656732.965643	scorpion	4	65.76737628954291	75.95771517164027	0	0
1777656732.9656472	scorpion	5	67.63126962944185	77.79157786054166	0	0
1777656732.9656498	scorpion	6	67.90790639518124	77.93816957849822	0	0
1777656732.965656	scorpion	7	67.77629679082074	78.0019766257307	0	0
1777656732.9656599	scorpion	8	67.68982160722439	77.99429175578302	0	0
1777656732.965664	scorpion	9	67.900396629446	77.99763693987387	0	0
1777656732.9656682	scorpion	10	67.90738391527825	77.97632181908241	0	0
1777656732.9656708	scorpion	11	67.85526470503181	78.00435396049814	0	0
1777656732.965676	scorpion	12	65.72822589492584	75.9847158189298	0	0
1777656732.9656801	scorpion	13	67.79985853430287	77.98762068248425	0	0
1777656732.965684	scorpion	14	67.69188643084823	77.95841031669406	0	0
1777656732.965688	scorpion	15	67.84040132263648	78.01126273102537	0	0
1777656732.9656918	scorpion	16	67.71579082360208	77.97529994196374	0	0
1777656732.965696	scorpion	17	67.89868009081641	78.0103304901677	0	0
1777656732.9657001	scorpion	18	67.88193291950736	77.97805670116105	0	0
1777656732.965704	scorpion	19	67.96088227221128	78.02159068473443	0	0
