timestamp	species	generation	reward
1777523722.3704908	megapede	0	66.92237572630893
1777523722.370496	megapede	1	66.25937146523901
1777523722.370498	megapede	2	67.53632615346879
1777523722.3704991	megapede	3	66.47328459307157
1777523722.3705	megapede	4	67.5766029231564
1777523722.3705	megapede	5	67.49641534344562
1777523722.370501	megapede	6	67.10038071546752
1777523722.370502	megapede	7	67.39120566152086
1777523722.370503	megapede	8	67.33055948606041
1777523722.370504	megapede	9	67.5308167201025
1777523722.3705049	megapede	10	67.04377468600923
1777523722.370506	megapede	11	66.72306978135094
1777523722.370507	megapede	12	67.06916488507761
1777523722.370508	megapede	13	67.37037201133823
1777523722.3705091	megapede	14	67.02110697648315
1777523722.37051	megapede	15	67.61839255901909
1777523722.370511	megapede	16	67.25875303932858
1777523722.370511	megapede	17	66.61773441203765
1777523722.3705118	megapede	18	67.4250285954036
1777523722.370513	megapede	19	67.50527386445005
1777523722.370514	megapede	20	66.57468789962236
1777523722.3705149	megapede	21	67.45267607187296
1777523722.370516	megapede	22	67.14689231572852
1777523722.370517	megapede	23	67.5606048143712
1777523722.370518	megapede	24	67.68241506920008
1777523722.370518	megapede	25	67.60083332381046
1777523722.370519	megapede	26	67.52652570873957
1777523722.37052	megapede	27	67.14204414397989
1777523722.370521	megapede	28	67.48503443473162
1777523722.370522	megapede	29	67.82676117426288
1777523722.370523	megapede	30	67.68621335425529
1777523722.370524	megapede	31	67.6094453050717
1777523722.370525	megapede	32	67.317862224493
1777523722.3705258	megapede	33	67.41354897315959
1777523722.370527	megapede	34	67.19002350771005
1777523722.370528	megapede	35	66.75971919093405
1777523722.370528	megapede	36	67.52593116201143
1777523722.370529	megapede	37	67.29595299934225
1777523722.3705301	megapede	38	67.57867943313524
1777523722.370531	megapede	39	66.80948967676606
1777523722.370532	megapede	40	67.5445694247687
1777523722.3705332	megapede	41	67.183919038715
1777523722.370534	megapede	42	67.45641142236467
1777523722.370535	megapede	43	67.59740230859661
1777523722.3705359	megapede	44	67.59327497174543
1777523722.370537	megapede	45	67.0310479182219
1777523722.370538	megapede	46	67.63959231709765
1777523722.370539	megapede	47	67.70160365733912
1777523722.3705401	megapede	48	67.32093620118191
1777523722.3705401	megapede	49	66.99691919304212
1777525863.991308	megapede	0	67.87049421540958
1777525863.991318	megapede	1	67.79609409653396
1777525863.991321	megapede	2	67.79952960558076
1777525863.991324	megapede	3	67.63834191994523
1777525863.9913259	megapede	4	67.81264925885282
1777525863.991328	megapede	5	67.7243416812503
1777525863.9913301	megapede	6	67.83547791834823
1777525863.991333	megapede	7	67.76218276225414
1777525863.991335	megapede	8	72.71913547158316
1777525863.991337	megapede	9	67.80474538210598
1777525863.991339	megapede	10	65.8059140817623
1777525863.991341	megapede	11	67.93552226830076
1777525863.991343	megapede	12	67.62329130119694
1777525863.991345	megapede	13	67.61903712754479
1777525863.9913468	megapede	14	67.8165240248524
1777525863.991349	megapede	15	67.86697846880834
1777525863.9913511	megapede	16	67.68904045825181
1777525863.9913542	megapede	17	67.80697071595539
1777525863.991356	megapede	18	67.84396639772388
1777525863.991358	megapede	19	67.72732980381484
1777525863.99136	megapede	20	67.6739852898108
1777525863.991362	megapede	21	67.91456796473622
1777525863.991364	megapede	22	68.40152220627856
1777525863.991366	megapede	23	67.70030821882331
1777525863.9913678	megapede	24	67.6650717013065
1777525863.99137	megapede	25	67.66874851536899
1777525863.991372	megapede	26	67.90142339051913
1777525863.991374	megapede	27	67.74672442258924
1777525863.991376	megapede	28	67.72805031830966
1777525863.9913778	megapede	29	67.94346638868255
1777525863.99138	megapede	30	67.8366730382308
1777525863.991383	megapede	31	67.72896279271008
1777525863.991384	megapede	32	67.79445066712314
1777525863.991387	megapede	33	67.80456015404584
1777525863.991389	megapede	34	67.78554136702606
1777525863.991391	megapede	35	67.78097805367285
1777525863.991393	megapede	36	67.73971979562539
1777525863.991395	megapede	37	67.78601133361035
1777525863.9913971	megapede	38	67.88857879333865
1777525863.9913988	megapede	39	67.96767122958349
1777525863.991401	megapede	40	67.64658399235557
1777525863.991403	megapede	41	67.77282252875519
1777525863.991405	megapede	42	67.76641278285868
1777525863.9914072	megapede	43	67.75317089167896
1777525863.9914088	megapede	44	67.64160583983828
1777525863.991411	megapede	45	67.79470753211743
1777525863.9914129	megapede	46	67.78667128319597
1777525863.991415	megapede	47	77.2959274055272
1777525863.9914172	megapede	48	77.85907993840641
1777525863.9914188	megapede	49	68.062893975895
1777529303.059521	megapede	0	6.37086445289735
1777529303.059534	megapede	1	6.447189813709847
1777529303.059554	megapede	2	6.761051355778737
1777529303.0595598	megapede	3	8.617954540032356
1777529303.059563	megapede	4	7.7761419462685115
1777529303.059565	megapede	5	9.536676201500015
1777529303.0595682	megapede	6	8.986875506509408
1777529303.0595698	megapede	7	8.786803911916481
1777529303.059572	megapede	8	8.133464987628015
1777529303.0595741	megapede	9	8.471620220554307
1777529303.0595782	megapede	10	5.817084257563203
1777529303.059582	megapede	11	10.153268361892433
1777529303.059586	megapede	12	9.221098611225226
1777529303.0595882	megapede	13	5.9356488743285425
1777529303.0595908	megapede	14	9.38400705703965
1777529303.059593	megapede	15	8.11226197892048
1777529303.059594	megapede	16	6.15499470712683
1777529303.059595	megapede	17	7.787038614826396
1777529303.059597	megapede	18	6.774729184356572
1777529303.059598	megapede	19	6.676080078551414
